region;absolute;foreigners;invalid;youth;adult;old;longterms;percent
      Augsburg, Landkreis;3546;467;296;95;424;895;731;3,1
      Dillingen a.d.Donau, Landkreis;1294;165;133;26;133;363;320;2,8
      Günzburg, Landkreis;1896;350;174;47;220;427;417;3,2
      Neu-Ulm, Landkreis;2866;628;203;59;307;633;699;3,5
      Lindau (Bodensee), Landkreis;1106;219;72;24;118;243;206;3,1
      Ostallgäu, Landkreis;1854;227;154;47;237;460;385;3
      Unterallgäu, Landkreis;1473;155;135;45;195;387;236;2,3
      Donau-Ries, Landkreis;1481;155;137;28;142;419;446;2,3
      Oberallgäu, Landkreis;2405;269;189;49;248;663;543;3,4
  Saarland;34283;5212;1939;721;3624;6210;11626;7,3
      Saarbrücken, Regionalverband;14729;2594;884;271;1388;2382;5587;9,9
      Saarbrücken, Landeshauptstadt;.;.;.;.;.;.;.;.
      Merzig-Wadern, Landkreis;2601;295;146;58;297;493;763;5,3
      Neunkirchen, Landkreis;5084;659;291;113;590;958;1610;8
      Saarlouis, Landkreis;5925;977;322;197;793;1075;1938;6,3
      Saarpfalz-Kreis;4129;555;164;65;416;886;1291;6
      St. Wendel, Landkreis;1814;133;132;17;141;416;437;4,2
  Berlin;215353;47365;11006;4290;21304;29992;73913;14,5
  Brandenburg;136115;4233;6938;1461;11949;29661;53926;11,3
      Brandenburg an der Havel, Kreisfreie Stadt;5303;202;219;51;520;1113;2257;15,4
      Cottbus, Kreisfreie Stadt;6546;324;346;79;692;1196;2681;13,6
      Frankfurt (Oder), Kreisfreie Stadt;4519;313;271;43;348;905;2103;15,7
      Potsdam, Kreisfreie Stadt;6474;625;313;82;634;983;1910;8,5
      Barnim, Landkreis;9412;306;582;138;991;2000;3752;11,1
      Dahme-Spreewald, Landkreis;6196;224;379;57;504;1359;1748;8
      Elbe-Elster, Landkreis;7652;118;355;89;641;1807;3686;14,7
      Havelland, Landkreis;7486;185;360;93;694;1580;3036;10,1
      Märkisch-Oderland, Landkreis;10354;271;571;107;889;2350;3836;11,3
      Oberhavel, Landkreis;9816;287;411;56;736;2246;4351;9,8
      Oberspreewald-Lausitz, Landkreis;8933;151;455;98;723;1892;4528;15,8
      Oder-Spree, Landkreis;9119;316;505;94;861;2084;3093;10,4
      Ostprignitz-Ruppin, Landkreis;6088;122;268;57;501;1206;1946;12,2
      Potsdam-Mittelmark, Landkreis;7611;192;301;99;689;1839;2695;7,7
      Prignitz, Landkreis;5753;73;267;59;473;1280;2378;15,1
      Spree-Neiße, Landkreis;6794;127;384;23;395;1716;2624;11,2
      Teltow-Fläming, Landkreis;6792;192;314;108;733;1430;2145;8,5
      Uckermark, Landkreis;11267;205;638;127;927;2676;5158;18,1
  Mecklenburg-Vorpommern;101891;2760;5299;1252;9950;20354;33070;13,2
